sepal_length,sepal_width,petal_length,petal_width,species_pred,prob
5.5,2.5,4.0,1.3,versicolor,0.8912714385183932
6.9,3.1,5.1,2.3,virginica,0.93935666282843
5.1,2.5,3.0,1.1,versicolor,0.8564014563621279
4.4,2.9,,0.2,setosa,0.8007764106075049
5.9,3.0,5.1,1.8,virginica,0.679211422219691
5.5,3.5,1.3,0.2,setosa,0.9629722787303056
5.6,,3.6,1.3,versicolor,0.8327222458196475
6.5,3.0,5.2,2.0,virginica,0.8539272890567997
5.3,3.7,1.5,0.2,setosa,0.9836502400925241
5.1,3.4,1.5,,setosa,0.8878061072223498
6.1,2.8,4.0,1.3,versicolor,0.914643867887546
5.5,2.4,3.7,1.0,versicolor,0.945710839454312
7.7,3.0,6.1,2.3,virginica,0.9882104403961969
6.9,3.1,4.9,1.5,versicolor,0.6831330088189475
6.0,2.2,5.0,1.5,virginica,0.589467862781068
